dept_id,y,ds,wm_yr_wk,yearweek,holiday
FOODS_3,16741.0,2011-01-29,11101,201101,
FOODS_3,16333.0,2011-01-30,11101,201101,
FOODS_3,12343.0,2011-01-31,11101,201101,
FOODS_3,13764.0,2011-02-01,11101,201101,
FOODS_3,10525.0,2011-02-02,11101,201101,
FOODS_3,15821.0,2011-02-03,11101,201101,
FOODS_3,15238.0,2011-02-04,11101,201101,
FOODS_3,21132.0,2011-02-05,11102,201102,
FOODS_3,18664.0,2011-02-06,11102,201102,
FOODS_3,13631.0,2011-02-07,11102,201102,
FOODS_3,11923.0,2011-02-08,11102,201102,
FOODS_3,12222.0,2011-02-09,11102,201102,
FOODS_3,11700.0,2011-02-10,11102,201102,
FOODS_3,12946.0,2011-02-11,11102,201102,
FOODS_3,17517.0,2011-02-12,11103,201103,
FOODS_3,18079.0,2011-02-13,11103,201103,
FOODS_3,10801.0,2011-02-14,11103,201103,
FOODS_3,11974.0,2011-02-15,11103,201103,
FOODS_3,10515.0,2011-02-16,11103,201103,
FOODS_3,9998.0,2011-02-17,11103,201103,
FOODS_3,11698.0,2011-02-18,11103,201103,
FOODS_3,14726.0,2011-02-19,11104,201104,
FOODS_3,14011.0,2011-02-20,11104,201104,
FOODS_3,11405.0,2011-02-21,11104,201104,
FOODS_3,9965.0,2011-02-22,11104,201104,
FOODS_3,9797.0,2011-02-23,11104,201104,
FOODS_3,9728.0,2011-02-24,11104,201104,
FOODS_3,11088.0,2011-02-25,11104,201104,
FOODS_3,13974.0,2011-02-26,11105,201105,
FOODS_3,14760.0,2011-02-27,11105,201105,
FOODS_3,10574.0,2011-02-28,11105,201105,
FOODS_3,11533.0,2011-03-01,11105,201105,
FOODS_3,11385.0,2011-03-02,11105,201105,
FOODS_3,12144.0,2011-03-03,11105,201105,
FOODS_3,12443.0,2011-03-04,11105,201105,
FOODS_3,16447.0,2011-03-05,11106,201106,
FOODS_3,17446.0,2011-03-06,11106,201106,
FOODS_3,12339.0,2011-03-07,11106,201106,
