dept_id,y,ds,wm_yr_wk,yearweek,holiday
HOUSEHOLD_1,4105.0,2011-01-29,11101,201101,
HOUSEHOLD_1,3858.0,2011-01-30,11101,201101,
HOUSEHOLD_1,2827.0,2011-01-31,11101,201101,
HOUSEHOLD_1,2732.0,2011-02-01,11101,201101,
HOUSEHOLD_1,1802.0,2011-02-02,11101,201101,
HOUSEHOLD_1,2664.0,2011-02-03,11101,201101,
HOUSEHOLD_1,3161.0,2011-02-04,11101,201101,
HOUSEHOLD_1,4334.0,2011-02-05,11102,201102,
HOUSEHOLD_1,3494.0,2011-02-06,11102,201102,
HOUSEHOLD_1,2857.0,2011-02-07,11102,201102,
HOUSEHOLD_1,2454.0,2011-02-08,11102,201102,
HOUSEHOLD_1,2418.0,2011-02-09,11102,201102,
HOUSEHOLD_1,2507.0,2011-02-10,11102,201102,
HOUSEHOLD_1,3158.0,2011-02-11,11102,201102,
HOUSEHOLD_1,4071.0,2011-02-12,11103,201103,
HOUSEHOLD_1,4407.0,2011-02-13,11103,201103,
HOUSEHOLD_1,2525.0,2011-02-14,11103,201103,
HOUSEHOLD_1,2964.0,2011-02-15,11103,201103,
HOUSEHOLD_1,2817.0,2011-02-16,11103,201103,
HOUSEHOLD_1,2894.0,2011-02-17,11103,201103,
HOUSEHOLD_1,3490.0,2011-02-18,11103,201103,
HOUSEHOLD_1,4750.0,2011-02-19,11104,201104,
HOUSEHOLD_1,4566.0,2011-02-20,11104,201104,
HOUSEHOLD_1,3433.0,2011-02-21,11104,201104,
HOUSEHOLD_1,2827.0,2011-02-22,11104,201104,
HOUSEHOLD_1,2961.0,2011-02-23,11104,201104,
HOUSEHOLD_1,2843.0,2011-02-24,11104,201104,
HOUSEHOLD_1,3049.0,2011-02-25,11104,201104,
HOUSEHOLD_1,4272.0,2011-02-26,11105,201105,
HOUSEHOLD_1,4152.0,2011-02-27,11105,201105,
HOUSEHOLD_1,3171.0,2011-02-28,11105,201105,
HOUSEHOLD_1,3239.0,2011-03-01,11105,201105,
HOUSEHOLD_1,2985.0,2011-03-02,11105,201105,
HOUSEHOLD_1,3104.0,2011-03-03,11105,201105,
HOUSEHOLD_1,3123.0,2011-03-04,11105,201105,
HOUSEHOLD_1,4311.0,2011-03-05,11106,201106,
HOUSEHOLD_1,4420.0,2011-03-06,11106,201106,
HOUSEHOLD_1,3055.0,2011-03-07,11106,201106,
HOUSEHOLD_1,2796.0,2011-03-08,11106,201106,
HOUSEHOLD_1,2540.0,2011-03-09,11106,201106,
HOUSEHOLD_1,2743.0,2011-03-10,11106,201106,
HOUSEHOLD_1,3405.0,2011-03-11,11106,201106,
HOUSEHOLD_1,4292.0,2011-03-12,11107,201107,
HOUSEHOLD_1,4332.0,2011-03-13,11107,201107,
HOUSEHOLD_1,3393.0,2011-03-14,11107,201107,
HOUSEHOLD_1,3099.0,2011-03-15,11107,201107,
HOUSEHOLD_1,3152.0,2011-03-16,11107,201107,
HOUSEHOLD_1,3158.0,2011-03-17,11107,201107,
HOUSEHOLD_1,3734.0,2011-03-18,11107,201107,
HOUSEHOLD_1,4719.0,2011-03-19,11108,201108,
HOUSEHOLD_1,4531.0,2011-03-20,11108,201108,
HOUSEHOLD_1,3456.0,2011-03-21,11108,201108,
HOUSEHOLD_1,2908.0,2011-03-22,11108,201108,
HOUSEHOLD_1,2647.0,2011-03-23,11108,201108,
HOUSEHOLD_1,2587.0,2011-03-24,11108,201108,
HOUSEHOLD_1,3404.0,2011-03-25,11108,201108,
HOUSEHOLD_1,4505.0,2011-03-26,11109,201109,
HOUSEHOLD_1,4411.0,2011-03-27,11109,201109,
HOUSEHOLD_1,2964.0,2011-03-28,11109,201109,
HOUSEHOLD_1,2834.0,2011-03-29,11109,201109,
HOUSEHOLD_1,2547.0,2011-03-30,11109,201109,
HOUSEHOLD_1,2870.0,2011-03-31,11109,201109,
HOUSEHOLD_1,4100.0,2011-04-01,11109,201109,
HOUSEHOLD_1,5096.0,2011-04-02,11110,201110,
HOUSEHOLD_1,4510.0,2011-04-03,11110,201110,
HOUSEHOLD_1,3233.0,2011-04-04,11110,201110,
HOUSEHOLD_1,2858.0,2011-04-05,11110,201110,
HOUSEHOLD_1,2571.0,2011-04-06,11110,201110,
HOUSEHOLD_1,2770.0,2011-04-07,11110,201110,
HOUSEHOLD_1,3234.0,2011-04-08,11110,201110,
HOUSEHOLD_1,4516.0,2011-04-09,11111,201111,
HOUSEHOLD_1,4387.0,2011-04-10,11111,201111,
HOUSEHOLD_1,3209.0,2011-04-11,11111,201111,
HOUSEHOLD_1,2771.0,2011-04-12,11111,201111,
HOUSEHOLD_1,2777.0,2011-04-13,11111,201111,
HOUSEHOLD_1,2936.0,2011-04-14,11111,201111,
HOUSEHOLD_1,3428.0,2011-04-15,11111,201111,
HOUSEHOLD_1,4365.0,2011-04-16,11112,201112,
HOUSEHOLD_1,4519.0,2011-04-17,11112,201112,
HOUSEHOLD_1,3258.0,2011-04-18,11112,201112,
HOUSEHOLD_1,2780.0,2011-04-19,11112,201112,
HOUSEHOLD_1,2877.0,2011-04-20,11112,201112,
HOUSEHOLD_1,2727.0,2011-04-21,11112,201112,
HOUSEHOLD_1,3487.0,2011-04-22,11112,201112,
HOUSEHOLD_1,3946.0,2011-04-23,11113,201113,
HOUSEHOLD_1,3275.0,2011-04-24,11113,201113,OrthodoxEaster|Easter
HOUSEHOLD_1,3016.0,2011-04-25,11113,201113,
HOUSEHOLD_1,2629.0,2011-04-26,11113,201113,
HOUSEHOLD_1,2705.0,2011-04-27,11113,201113,
HOUSEHOLD_1,2802.0,2011-04-28,11113,201113,
HOUSEHOLD_1,3683.0,2011-04-29,11113,201113,
HOUSEHOLD_1,4562.0,2011-04-30,11114,201114,
HOUSEHOLD_1,4142.0,2011-05-01,11114,201114,
HOUSEHOLD_1,3290.0,2011-05-02,11114,201114,
HOUSEHOLD_1,3190.0,2011-05-03,11114,201114,
HOUSEHOLD_1,2879.0,2011-05-04,11114,201114,
HOUSEHOLD_1,2679.0,2011-05-05,11114,201114,
HOUSEHOLD_1,3028.0,2011-05-06,11114,201114,
HOUSEHOLD_1,3719.0,2011-05-07,11115,201115,
HOUSEHOLD_1,2958.0,2011-05-08,11115,201115,
HOUSEHOLD_1,3154.0,2011-05-09,11115,201115,
HOUSEHOLD_1,2766.0,2011-05-10,11115,201115,
HOUSEHOLD_1,3011.0,2011-05-11,11115,201115,
HOUSEHOLD_1,2840.0,2011-05-12,11115,201115,
HOUSEHOLD_1,3697.0,2011-05-13,11115,201115,
HOUSEHOLD_1,4472.0,2011-05-14,11116,201116,
HOUSEHOLD_1,4382.0,2011-05-15,11116,201116,
HOUSEHOLD_1,3014.0,2011-05-16,11116,201116,
HOUSEHOLD_1,2738.0,2011-05-17,11116,201116,
HOUSEHOLD_1,2574.0,2011-05-18,11116,201116,
HOUSEHOLD_1,2648.0,2011-05-19,11116,201116,
HOUSEHOLD_1,3148.0,2011-05-20,11116,201116,
HOUSEHOLD_1,4231.0,2011-05-21,11117,201117,
HOUSEHOLD_1,3777.0,2011-05-22,11117,201117,
HOUSEHOLD_1,2777.0,2011-05-23,11117,201117,
HOUSEHOLD_1,2658.0,2011-05-24,11117,201117,
HOUSEHOLD_1,2574.0,2011-05-25,11117,201117,
HOUSEHOLD_1,2812.0,2011-05-26,11117,201117,
HOUSEHOLD_1,3113.0,2011-05-27,11117,201117,
HOUSEHOLD_1,3685.0,2011-05-28,11118,201118,
HOUSEHOLD_1,3357.0,2011-05-29,11118,201118,
HOUSEHOLD_1,3440.0,2011-05-30,11118,201118,
HOUSEHOLD_1,3152.0,2011-05-31,11118,201118,
HOUSEHOLD_1,3615.0,2011-06-01,11118,201118,
