dept_id,y,ds,wm_yr_wk,yearweek,holiday
FOODS_2,4094.0,2011-01-29,11101,201101,
FOODS_2,4209.0,2011-01-30,11101,201101,
FOODS_2,3174.0,2011-01-31,11101,201101,
FOODS_2,3606.0,2011-02-01,11101,201101,
FOODS_2,2869.0,2011-02-02,11101,201101,
FOODS_2,4375.0,2011-02-03,11101,201101,
FOODS_2,3349.0,2011-02-04,11101,201101,
FOODS_2,4384.0,2011-02-05,11102,201102,
FOODS_2,4273.0,2011-02-06,11102,201102,
FOODS_2,3684.0,2011-02-07,11102,201102,
FOODS_2,3255.0,2011-02-08,11102,201102,
FOODS_2,3696.0,2011-02-09,11102,201102,
FOODS_2,3592.0,2011-02-10,11102,201102,
FOODS_2,3743.0,2011-02-11,11102,201102,
FOODS_2,4722.0,2011-02-12,11103,201103,
FOODS_2,4889.0,2011-02-13,11103,201103,
FOODS_2,3021.0,2011-02-14,11103,201103,
FOODS_2,3899.0,2011-02-15,11103,201103,
FOODS_2,3219.0,2011-02-16,11103,201103,
FOODS_2,2790.0,2011-02-17,11103,201103,
FOODS_2,3030.0,2011-02-18,11103,201103,
FOODS_2,3821.0,2011-02-19,11104,201104,
FOODS_2,3853.0,2011-02-20,11104,201104,
FOODS_2,3184.0,2011-02-21,11104,201104,
FOODS_2,2598.0,2011-02-22,11104,201104,
FOODS_2,2548.0,2011-02-23,11104,201104,
FOODS_2,2463.0,2011-02-24,11104,201104,
FOODS_2,2648.0,2011-02-25,11104,201104,
FOODS_2,3499.0,2011-02-26,11105,201105,
FOODS_2,3881.0,2011-02-27,11105,201105,
FOODS_2,3028.0,2011-02-28,11105,201105,
FOODS_2,3344.0,2011-03-01,11105,201105,
FOODS_2,3245.0,2011-03-02,11105,201105,
FOODS_2,3472.0,2011-03-03,11105,201105,
FOODS_2,3310.0,2011-03-04,11105,201105,
FOODS_2,4432.0,2011-03-05,11106,201106,
FOODS_2,5162.0,2011-03-06,11106,201106,
FOODS_2,3709.0,2011-03-07,11106,201106,
FOODS_2,3480.0,2011-03-08,11106,201106,
FOODS_2,3460.0,2011-03-09,11106,201106,
FOODS_2,3241.0,2011-03-10,11106,201106,
FOODS_2,3417.0,2011-03-11,11106,201106,
FOODS_2,4059.0,2011-03-12,11107,201107,
FOODS_2,4484.0,2011-03-13,11107,201107,
FOODS_2,3862.0,2011-03-14,11107,201107,
FOODS_2,3570.0,2011-03-15,11107,201107,
FOODS_2,2953.0,2011-03-16,11107,201107,
FOODS_2,2736.0,2011-03-17,11107,201107,
FOODS_2,2980.0,2011-03-18,11107,201107,
FOODS_2,3544.0,2011-03-19,11108,201108,
FOODS_2,3841.0,2011-03-20,11108,201108,
FOODS_2,2972.0,2011-03-21,11108,201108,
FOODS_2,2646.0,2011-03-22,11108,201108,
FOODS_2,2361.0,2011-03-23,11108,201108,
FOODS_2,2104.0,2011-03-24,11108,201108,
FOODS_2,2348.0,2011-03-25,11108,201108,
FOODS_2,3459.0,2011-03-26,11109,201109,
FOODS_2,3683.0,2011-03-27,11109,201109,
FOODS_2,2863.0,2011-03-28,11109,201109,
FOODS_2,2355.0,2011-03-29,11109,201109,
FOODS_2,2290.0,2011-03-30,11109,201109,
FOODS_2,2410.0,2011-03-31,11109,201109,
FOODS_2,3247.0,2011-04-01,11109,201109,
FOODS_2,4027.0,2011-04-02,11110,201110,
FOODS_2,4585.0,2011-04-03,11110,201110,
FOODS_2,3469.0,2011-04-04,11110,201110,
FOODS_2,3333.0,2011-04-05,11110,201110,
FOODS_2,3172.0,2011-04-06,11110,201110,
