dept_id,y,ds,wm_yr_wk,yearweek,holiday
HOBBIES_2,154.0,2011-01-29,11101,201101,
HOBBIES_2,185.0,2011-01-30,11101,201101,
HOBBIES_2,185.0,2011-01-31,11101,201101,
HOBBIES_2,138.0,2011-02-01,11101,201101,
HOBBIES_2,100.0,2011-02-02,11101,201101,
HOBBIES_2,87.0,2011-02-03,11101,201101,
HOBBIES_2,89.0,2011-02-04,11101,201101,
HOBBIES_2,155.0,2011-02-05,11102,201102,
HOBBIES_2,158.0,2011-02-06,11102,201102,
HOBBIES_2,101.0,2011-02-07,11102,201102,
HOBBIES_2,135.0,2011-02-08,11102,201102,
HOBBIES_2,102.0,2011-02-09,11102,201102,
HOBBIES_2,176.0,2011-02-10,11102,201102,
HOBBIES_2,124.0,2011-02-11,11102,201102,
HOBBIES_2,132.0,2011-02-12,11103,201103,
HOBBIES_2,196.0,2011-02-13,11103,201103,
HOBBIES_2,127.0,2011-02-14,11103,201103,
HOBBIES_2,165.0,2011-02-15,11103,201103,
HOBBIES_2,139.0,2011-02-16,11103,201103,
HOBBIES_2,134.0,2011-02-17,11103,201103,
HOBBIES_2,153.0,2011-02-18,11103,201103,
HOBBIES_2,157.0,2011-02-19,11104,201104,
HOBBIES_2,169.0,2011-02-20,11104,201104,
HOBBIES_2,203.0,2011-02-21,11104,201104,
HOBBIES_2,115.0,2011-02-22,11104,201104,
HOBBIES_2,139.0,2011-02-23,11104,201104,
HOBBIES_2,135.0,2011-02-24,11104,201104,
HOBBIES_2,170.0,2011-02-25,11104,201104,
HOBBIES_2,170.0,2011-02-26,11105,201105,
HOBBIES_2,201.0,2011-02-27,11105,201105,
HOBBIES_2,176.0,2011-02-28,11105,201105,
HOBBIES_2,167.0,2011-03-01,11105,201105,
HOBBIES_2,168.0,2011-03-02,11105,201105,
HOBBIES_2,117.0,2011-03-03,11105,201105,
HOBBIES_2,173.0,2011-03-04,11105,201105,
HOBBIES_2,215.0,2011-03-05,11106,201106,
HOBBIES_2,216.0,2011-03-06,11106,201106,
HOBBIES_2,175.0,2011-03-07,11106,201106,
HOBBIES_2,156.0,2011-03-08,11106,201106,
HOBBIES_2,168.0,2011-03-09,11106,201106,
HOBBIES_2,140.0,2011-03-10,11106,201106,
HOBBIES_2,132.0,2011-03-11,11106,201106,
HOBBIES_2,191.0,2011-03-12,11107,201107,
HOBBIES_2,191.0,2011-03-13,11107,201107,
HOBBIES_2,128.0,2011-03-14,11107,201107,
HOBBIES_2,146.0,2011-03-15,11107,201107,
HOBBIES_2,226.0,2011-03-16,11107,201107,
HOBBIES_2,162.0,2011-03-17,11107,201107,
HOBBIES_2,195.0,2011-03-18,11107,201107,
HOBBIES_2,196.0,2011-03-19,11108,201108,
HOBBIES_2,225.0,2011-03-20,11108,201108,
HOBBIES_2,209.0,2011-03-21,11108,201108,
HOBBIES_2,213.0,2011-03-22,11108,201108,
HOBBIES_2,159.0,2011-03-23,11108,201108,
HOBBIES_2,168.0,2011-03-24,11108,201108,
HOBBIES_2,167.0,2011-03-25,11108,201108,
HOBBIES_2,214.0,2011-03-26,11109,201109,
HOBBIES_2,185.0,2011-03-27,11109,201109,
HOBBIES_2,207.0,2011-03-28,11109,201109,
HOBBIES_2,186.0,2011-03-29,11109,201109,
HOBBIES_2,144.0,2011-03-30,11109,201109,
HOBBIES_2,212.0,2011-03-31,11109,201109,
HOBBIES_2,200.0,2011-04-01,11109,201109,
HOBBIES_2,242.0,2011-04-02,11110,201110,
HOBBIES_2,210.0,2011-04-03,11110,201110,
HOBBIES_2,153.0,2011-04-04,11110,201110,
HOBBIES_2,138.0,2011-04-05,11110,201110,
HOBBIES_2,191.0,2011-04-06,11110,201110,
HOBBIES_2,171.0,2011-04-07,11110,201110,
HOBBIES_2,161.0,2011-04-08,11110,201110,
HOBBIES_2,231.0,2011-04-09,11111,201111,
HOBBIES_2,162.0,2011-04-10,11111,201111,
HOBBIES_2,164.0,2011-04-11,11111,201111,
HOBBIES_2,208.0,2011-04-12,11111,201111,
HOBBIES_2,196.0,2011-04-13,11111,201111,
HOBBIES_2,148.0,2011-04-14,11111,201111,
HOBBIES_2,156.0,2011-04-15,11111,201111,
HOBBIES_2,223.0,2011-04-16,11112,201112,
HOBBIES_2,226.0,2011-04-17,11112,201112,
HOBBIES_2,163.0,2011-04-18,11112,201112,
HOBBIES_2,193.0,2011-04-19,11112,201112,
HOBBIES_2,217.0,2011-04-20,11112,201112,
HOBBIES_2,144.0,2011-04-21,11112,201112,
HOBBIES_2,212.0,2011-04-22,11112,201112,
HOBBIES_2,198.0,2011-04-23,11113,201113,
HOBBIES_2,189.0,2011-04-24,11113,201113,OrthodoxEaster|Easter
HOBBIES_2,180.0,2011-04-25,11113,201113,
HOBBIES_2,203.0,2011-04-26,11113,201113,
HOBBIES_2,216.0,2011-04-27,11113,201113,
HOBBIES_2,172.0,2011-04-28,11113,201113,
HOBBIES_2,195.0,2011-04-29,11113,201113,
HOBBIES_2,282.0,2011-04-30,11114,201114,
HOBBIES_2,247.0,2011-05-01,11114,201114,
HOBBIES_2,176.0,2011-05-02,11114,201114,
HOBBIES_2,189.0,2011-05-03,11114,201114,
HOBBIES_2,238.0,2011-05-04,11114,201114,
HOBBIES_2,236.0,2011-05-05,11114,201114,
HOBBIES_2,257.0,2011-05-06,11114,201114,
HOBBIES_2,231.0,2011-05-07,11115,201115,
HOBBIES_2,166.0,2011-05-08,11115,201115,
HOBBIES_2,239.0,2011-05-09,11115,201115,
HOBBIES_2,186.0,2011-05-10,11115,201115,
HOBBIES_2,186.0,2011-05-11,11115,201115,
HOBBIES_2,191.0,2011-05-12,11115,201115,
HOBBIES_2,225.0,2011-05-13,11115,201115,
HOBBIES_2,210.0,2011-05-14,11116,201116,
HOBBIES_2,223.0,2011-05-15,11116,201116,
HOBBIES_2,172.0,2011-05-16,11116,201116,
HOBBIES_2,201.0,2011-05-17,11116,201116,
HOBBIES_2,197.0,2011-05-18,11116,201116,
HOBBIES_2,237.0,2011-05-19,11116,201116,
HOBBIES_2,195.0,2011-05-20,11116,201116,
HOBBIES_2,229.0,2011-05-21,11117,201117,
HOBBIES_2,242.0,2011-05-22,11117,201117,
HOBBIES_2,148.0,2011-05-23,11117,201117,
HOBBIES_2,182.0,2011-05-24,11117,201117,
HOBBIES_2,164.0,2011-05-25,11117,201117,
HOBBIES_2,191.0,2011-05-26,11117,201117,
HOBBIES_2,219.0,2011-05-27,11117,201117,
HOBBIES_2,211.0,2011-05-28,11118,201118,
HOBBIES_2,178.0,2011-05-29,11118,201118,
HOBBIES_2,182.0,2011-05-30,11118,201118,
HOBBIES_2,169.0,2011-05-31,11118,201118,
HOBBIES_2,193.0,2011-06-01,11118,201118,
HOBBIES_2,214.0,2011-06-02,11118,201118,
HOBBIES_2,190.0,2011-06-03,11118,201118,
HOBBIES_2,224.0,2011-06-04,11119,201119,
HOBBIES_2,209.0,2011-06-05,11119,201119,
HOBBIES_2,146.0,2011-06-06,11119,201119,
HOBBIES_2,165.0,2011-06-07,11119,201119,
HOBBIES_2,159.0,2011-06-08,11119,201119,
HOBBIES_2,175.0,2011-06-09,11119,201119,
HOBBIES_2,176.0,2011-06-10,11119,201119,
HOBBIES_2,186.0,2011-06-11,11120,201120,
HOBBIES_2,121.0,2011-06-12,11120,201120,
HOBBIES_2,201.0,2011-06-13,11120,201120,
HOBBIES_2,168.0,2011-06-14,11120,201120,
HOBBIES_2,137.0,2011-06-15,11120,201120,
HOBBIES_2,128.0,2011-06-16,11120,201120,
HOBBIES_2,164.0,2011-06-17,11120,201120,
HOBBIES_2,153.0,2011-06-18,11121,201121,
HOBBIES_2,192.0,2011-06-19,11121,201121,
HOBBIES_2,162.0,2011-06-20,11121,201121,
HOBBIES_2,146.0,2011-06-21,11121,201121,
HOBBIES_2,154.0,2011-06-22,11121,201121,
HOBBIES_2,182.0,2011-06-23,11121,201121,
HOBBIES_2,191.0,2011-06-24,11121,201121,
HOBBIES_2,173.0,2011-06-25,11122,201122,
HOBBIES_2,147.0,2011-06-26,11122,201122,
HOBBIES_2,135.0,2011-06-27,11122,201122,
HOBBIES_2,143.0,2011-06-28,11122,201122,
HOBBIES_2,180.0,2011-06-29,11122,201122,
HOBBIES_2,153.0,2011-06-30,11122,201122,
HOBBIES_2,191.0,2011-07-01,11122,201122,
HOBBIES_2,145.0,2011-07-02,11123,201123,
HOBBIES_2,152.0,2011-07-03,11123,201123,
HOBBIES_2,149.0,2011-07-04,11123,201123,
HOBBIES_2,186.0,2011-07-05,11123,201123,
HOBBIES_2,155.0,2011-07-06,11123,201123,
HOBBIES_2,193.0,2011-07-07,11123,201123,
HOBBIES_2,153.0,2011-07-08,11123,201123,
HOBBIES_2,167.0,2011-07-09,11124,201124,
HOBBIES_2,149.0,2011-07-10,11124,201124,
HOBBIES_2,156.0,2011-07-11,11124,201124,
HOBBIES_2,168.0,2011-07-12,11124,201124,
HOBBIES_2,159.0,2011-07-13,11124,201124,
HOBBIES_2,174.0,2011-07-14,11124,201124,
HOBBIES_2,178.0,2011-07-15,11124,201124,
HOBBIES_2,175.0,2011-07-16,11125,201125,
HOBBIES_2,213.0,2011-07-17,11125,201125,
HOBBIES_2,189.0,2011-07-18,11125,201125,
HOBBIES_2,167.0,2011-07-19,11125,201125,
HOBBIES_2,135.0,2011-07-20,11125,201125,
HOBBIES_2,159.0,2011-07-21,11125,201125,
HOBBIES_2,177.0,2011-07-22,11125,201125,
HOBBIES_2,148.0,2011-07-23,11126,201126,
HOBBIES_2,154.0,2011-07-24,11126,201126,
HOBBIES_2,178.0,2011-07-25,11126,201126,
HOBBIES_2,149.0,2011-07-26,11126,201126,
HOBBIES_2,135.0,2011-07-27,11126,201126,
HOBBIES_2,120.0,2011-07-28,11126,201126,
HOBBIES_2,176.0,2011-07-29,11126,201126,
HOBBIES_2,156.0,2011-07-30,11127,201127,
HOBBIES_2,144.0,2011-07-31,11127,201127,
HOBBIES_2,182.0,2011-08-01,11127,201127,
HOBBIES_2,159.0,2011-08-02,11127,201127,
HOBBIES_2,206.0,2011-08-03,11127,201127,
HOBBIES_2,132.0,2011-08-04,11127,201127,
HOBBIES_2,166.0,2011-08-05,11127,201127,
HOBBIES_2,180.0,2011-08-06,11128,201128,
HOBBIES_2,135.0,2011-08-07,11128,201128,
